week_of	ladder	name	is_own	rank	prev_rank	score	note
2026-08-24	아구찜·해물찜	인생아구찜	TRUE	1		9	오탐 제거 후 9건. 사다리 1위
2026-08-24	아구찜·해물찜	김영희아구찜	FALSE	2		7	코다리냉면 병기 매장 포함
2026-08-24	아구찜·해물찜	아구듬뿍알곤마니	FALSE	3		5+	하한값
2026-08-24	아구찜·해물찜	행운아구찜	FALSE	4		5	3일에 5건 집중. 신메뉴 묵은지아구찜 체험단 푸시 중
2026-08-24	아구찜·해물찜	싸다아구찜	FALSE	5		3
2026-08-24	아구찜·해물찜	아구찜참잘하는집	FALSE	6		0	최근 글 07-31, 24일째 무활동
2026-08-24	아구찜·해물찜	1등아구찜	FALSE	7		n/a	측정 불가. 이름이 "1등 맛집" 수식어와 구분되지 않음
2026-08-24	아구찜·해물찜	두찜	FALSE	0		50+	참고 · 카테고리 다름(찜닭 프랜차이즈). 순위에서 제외
2026-08-24	미역국·한식	보돌미역	FALSE	1		18	합정·청주오송·판교운중·시흥은계·광교·원주·경주 7개 지역 동시 노출
2026-08-24	미역국·한식	팔도미역	FALSE	2		17	17건 중 11건이 부산 명지점. 무작위 아이디 블로거 다수 - 신규점 체험단
2026-08-24	미역국·한식	일호점미역	FALSE	3		7	수원점·미사점 중심
2026-08-24	미역국·한식	풍원장미역국	FALSE	4		1	부산 마린시티 편중. 08-17 이후 멈춤
2026-08-24	미역국·한식	삼대미역	TRUE	5		0	실제 리뷰 마지막 08-09. 15일째 무활동
2026-08-24	미역국·한식	서청미역	FALSE	6		0	최근 글 08-11, 13일째 무활동
2026-08-24	생선구이·고등어	달빛에구운고등어	FALSE	1		100+	하한값. 98번째 글도 7일 안. 하루 20건꼴
2026-08-24	생선구이·고등어	화덕으로간고등어	FALSE	2		60+	하한값. 08-24 하루에만 8건 이상
2026-08-24	생선구이·고등어	산으로간고등어	FALSE	3		24	용인 수지 단일 매장. 웨이팅·오픈런 후기 중심
2026-08-24	생선구이·고등어	북극해고등어	FALSE	4		22	22건 중 8건이 양주고읍점. 송도·속초 신규점 노출 진행 중
2026-08-24	생선구이·고등어	백년고등어1750	FALSE	5		14+	하한값. 수유본점·신동탄·김포구래
2026-08-24	생선구이·고등어	바다를먹은고등어	FALSE	6		8+	하한값. 광교 갤러리아점 편중
2026-08-24	생선구이·고등어	반궁	FALSE	7		8	NC강서점 중심. 가맹 홍보 성격
2026-08-24	생선구이·고등어	고래식당	FALSE	8		2	문래점 기준. 동명 하동 백반집과 섞여 오탐 주의
2026-08-24	생선구이·고등어	선굼터	FALSE	9		1	목포·익산·서교동. 08-19 이후 없음
2026-08-24	생선구이·고등어	어화락	TRUE	10		0	08-11~13 민어찜 체험단 7건 후 완전 정지. 11일째 무활동
