week_start,brand_id,brand,portal,metric_key,value,unit,kind,note,collected_at
2026-08-17,insaeng,인생아구찜,naver_place,place_views,,views,flow,스마트플레이스 통계 > 조회수 (전 매장 합),
2026-08-17,insaeng,인생아구찜,naver_place,place_direction_clicks,,clicks,flow,길찾기 클릭,
2026-08-17,insaeng,인생아구찜,naver_place,place_call_clicks,,clicks,flow,전화 클릭,
2026-08-17,insaeng,인생아구찜,naver_place,place_reserve_clicks,,clicks,flow,예약·주문 클릭,
2026-08-17,insaeng,인생아구찜,naver_place,place_reviews_visitor,,count,stock,방문자 리뷰 누적,
2026-08-17,insaeng,인생아구찜,naver_place,place_reviews_blog,,count,stock,블로그 리뷰 누적,
2026-08-17,insaeng,인생아구찜,naver_place,place_rating,,score,stock,평균 별점,
2026-08-17,insaeng,인생아구찜,naver_place,place_saves,,count,stock,저장(즐겨찾기) 수,
2026-08-17,insaeng,인생아구찜,naver_ad,ad_impressions,,imp,flow,네이버 검색광고 노출수,
2026-08-17,insaeng,인생아구찜,naver_ad,ad_clicks,,clicks,flow,검색광고 클릭수,
2026-08-17,insaeng,인생아구찜,naver_ad,ad_cost,,krw,flow,검색광고 집행액,
2026-08-17,insaeng,인생아구찜,google,gsc_impressions,,imp,flow,Search Console 노출수,
2026-08-17,insaeng,인생아구찜,google,gsc_clicks,,clicks,flow,Search Console 클릭수,
2026-08-17,insaeng,인생아구찜,google,gsc_avg_position,,rank,flow,평균 게재순위,
2026-08-17,insaeng,인생아구찜,google,gbp_views,,views,flow,비즈니스 프로필 조회,
2026-08-17,insaeng,인생아구찜,google,ga4_sessions,,sessions,flow,자사 홈페이지 세션,
2026-08-17,insaeng,인생아구찜,google,ga4_inquiry_form,,count,flow,가맹문의 폼 제출,
2026-08-17,insaeng,인생아구찜,instagram,ig_followers,,count,stock,팔로워,
2026-08-17,insaeng,인생아구찜,instagram,ig_reach,,count,flow,도달,
2026-08-17,insaeng,인생아구찜,instagram,ig_profile_visits,,count,flow,프로필 방문,
2026-08-17,insaeng,인생아구찜,instagram,ig_hashtag_posts,,count,stock,해시태그 게시물 누적,
2026-08-17,insaeng,인생아구찜,youtube,yt_video_count,,count,stock,브랜드 검색 노출 영상 수,
2026-08-17,insaeng,인생아구찜,youtube,yt_view_sum,,views,stock,상위 영상 누적 조회수 합(차분해서 증분 산출),
2026-08-17,insaeng,인생아구찜,delivery,baemin_reviews,,count,stock,배민 리뷰 누적(전 매장 합),
2026-08-17,insaeng,인생아구찜,delivery,baemin_rating,,score,stock,배민 평균 별점,
2026-08-17,insaeng,인생아구찜,delivery,coupangeats_reviews,,count,stock,쿠팡이츠 리뷰 누적,
2026-08-17,insaeng,인생아구찜,internal,sales_total,,krw,flow,주차 매출 합계,
2026-08-17,insaeng,인생아구찜,internal,sales_delivery_ratio,,ratio,flow,배달 매출 비중,
2026-08-17,insaeng,인생아구찜,internal,franchise_inquiries,,count,flow,가맹 상담 접수 건수,
2026-08-17,insaeng,인생아구찜,internal,store_open,,count,flow,신규 오픈 매장 수,
2026-08-17,insaeng,인생아구찜,internal,store_close,,count,flow,폐점 매장 수,
2026-08-17,insaeng,인생아구찜,internal,store_total,,count,stock,운영 매장 수,
2026-08-17,insaeng,인생아구찜,internal,pr_events,,text,flow,그 주차 방송·PR·프로모션 기록(급등 원인 대조용),
